Area_Name,HR,lon,lat
Rampart,6,-118.3004,34.0777
Southeast,21,-118.2893,33.958
Pacific,14,-118.4435,33.9857
Harbor,4,-118.2314,33.7819
West Valley,13,-118.5492,34.201
Devonshire,22,-118.5562,34.2351
Foothill,4,-118.3773,34.2788
West Valley,9,-118.496,34.1581
Olympic,11,-118.3157,34.0436
Van Nuys,2,-118.44,34.1994
Pacific,11,-118.425,33.9598
Van Nuys,9,-118.4575,34.1877
Devonshire,18,-118.5448,34.25
77th Street,6,-118.2871,33.9667
77th Street,19,-118.2915,33.9996
Newton,13,-118.2623,34.0242
Southwest,14,-118.2991,34.0328
Olympic,2,-118.2979,34.0618
West LA,10,-118.3909,34.0312
Van Nuys,9,-118.4488,34.2072
Mission,10,-118.4488,34.2248
Harbor,15,-118.3,33.7835
Devonshire,14,-118.5198,34.2576
Wilshire,5,-118.3538,34.0483
West Valley,18,-118.522,34.1722
Southwest,17,-118.3002,34.0109
Wilshire,10,-118.3459,34.0572
Foothill,12,-118.3745,34.2375
Pacific,6,-118.4697,34.0023
West Valley,13,-118.5333,34.1765
Southwest,16,-118.2808,34.0268
West LA,9,-118.515,34.0456
Devonshire,18,-118.5635,34.2573
Topanga,14,-118.5951,34.2198
Southwest,6,-118.3492,34.0283
77th Street,13,-118.3159,33.9746
N Hollywood,2,-118.3746,34.1619
Harbor,16,-118.3032,33.85
Mission,9,-118.4371,34.2552
Central,2,-118.259,34.0396
Hollywood,14,-118.3362,34.1114
77th Street,19,-118.2739,33.9662
N Hollywood,19,-118.4061,34.205
Olympic,10,-118.3078,34.0617
77th Street,20,-118.3002,33.9892
77th Street,19,-118.2827,33.9974
Southeast,20,-118.258,33.927
Mission,2,-118.4636,34.2973
77th Street,19,-118.2827,33.9988
Wilshire,15,-118.3435,34.0399
Pacific,10,-118.4037,34.0291
Hollywood,11,-118.3379,34.1322
Foothill,18,-118.3703,34.2103
Central,11,-118.262,34.0343
West Valley,13,-118.5578,34.1728
West Valley,20,-118.5011,34.2084
Van Nuys,6,-118.4345,34.1639
77th Street,11,-118.35,33.9817
Hollenbeck,15,-118.2074,34.0307
West LA,8,-118.5635,34.0724
Mission,0,-118.4311,34.2095
Devonshire,17,-118.5026,34.2285
Southwest,14,-118.2959,34.0109
Foothill,17,-118.4346,34.2584
77th Street,17,-118.2918,33.9746
West Valley,6,-118.5099,34.2121
Mission,18,-118.444,34.2249
Rampart,2,-118.2962,34.0814
Newton,18,-118.2478,34.0002
Northeast,1,-118.1954,34.1389
Olympic,12,-118.2916,34.0618
Mission,9,-118.4603,34.2752
Pacific,13,-118.3947,34.0291
Wilshire,9,-118.359,34.0398
Pacific,14,-118.4378,33.9838
Harbor,18,-118.304,33.8429
77th Street,6,-118.2871,33.9905
